1,"[[0.21181574 0.17297865 0.27766126 0.08944201 0.24810234]
 [0.31421888 0.31422281 0.07774919 0.26017906 0.03363005]
 [0.2830197  0.2405832  0.31281255 0.11451342 0.04907114]
 [0.15820419 0.32691553 0.26470664 0.11955525 0.1306184 ]
 [0.04583203 0.39261709 0.30979827 0.21373057 0.03802204]]"
2,"[[0.21931569 0.38406744 0.04328987 0.04919808 0.30412892]
 [0.34764772 0.34037865 0.2585837  0.02454242 0.0288475 ]
 [0.43214315 0.12317252 0.04007596 0.01521985 0.38938852]
 [0.59368967 0.08282637 0.18119988 0.06483557 0.07744851]
 [0.38307913 0.25370107 0.11800091 0.22802986 0.01718902]]"
3,"[[0.43555586 0.2938253  0.21900903 0.01330759 0.03830222]
 [0.39551863 0.15148322 0.17787439 0.2331293  0.04199446]
 [0.16546197 0.29432503 0.26145859 0.20902974 0.06972467]
 [0.33496635 0.19566526 0.27643256 0.08517332 0.1077625 ]
 [0.24365456 0.26702228 0.18083455 0.17235002 0.13613859]]"
4,"[[0.21274047 0.06659182 0.17097456 0.38637146 0.16332168]
 [0.299489   0.3821486  0.19510507 0.03104007 0.09221727]
 [0.28341008 0.41052795 0.18624658 0.07500821 0.04480719]
 [0.26556645 0.24929963 0.23909458 0.21147354 0.0345658 ]
 [0.65175018 0.18068839 0.11086795 0.03480947 0.02188401]]"
5,"[[0.33309632 0.29053753 0.26006027 0.10328478 0.0130211 ]
 [0.25277202 0.39292092 0.16808115 0.11374935 0.07247657]
 [0.27427433 0.26315826 0.16646653 0.23279309 0.06330779]
 [0.32843901 0.14028168 0.13975879 0.16282829 0.22869223]
 [0.24591319 0.24362763 0.1637447  0.21320147 0.13351302]]"
6,"[[0.25790121 0.22926823 0.20279946 0.19168494 0.11834616]
 [0.17520498 0.04197925 0.36195758 0.04012475 0.38073345]
 [0.34475413 0.20146113 0.19070366 0.09225763 0.17082345]
 [0.20452327 0.32778655 0.19722988 0.13930968 0.13115062]
 [0.32163219 0.27555195 0.24647544 0.04614978 0.11019064]]"
7,"[[0.3451317  0.2137255  0.20245302 0.18790733 0.05078245]
 [0.22784193 0.34412006 0.10593881 0.15894174 0.16315746]
 [0.35275725 0.24236313 0.06450786 0.29690932 0.04346243]
 [0.25512095 0.18261461 0.21796115 0.22906433 0.11523896]
 [0.29180056 0.33644296 0.08856213 0.2445705  0.03862385]]"
8,"[[0.37400129 0.35159458 0.11476804 0.0720047  0.08763139]
 [0.25874364 0.18939705 0.33396959 0.06419071 0.153699  ]
 [0.39761701 0.28104934 0.04763978 0.25105816 0.02263571]
 [0.23914155 0.28373293 0.1652054  0.1388412  0.17307891]
 [0.2268019  0.2194686  0.21844569 0.18412169 0.15116213]]"
9,"[[0.16860159 0.38952303 0.27293745 0.14739689 0.02154103]
 [0.37538138 0.34926887 0.25124172 0.01895168 0.00515636]
 [0.37537133 0.28368317 0.08489072 0.18107937 0.07497541]
 [0.33713928 0.29473336 0.23795227 0.06911464 0.06106045]
 [0.21977851 0.28241292 0.17822177 0.1285167  0.19107011]]"
10,"[[0.1877815  0.36869088 0.37645626 0.04937965 0.01769171]
 [0.24110258 0.2169855  0.06827361 0.21113146 0.26250686]
 [0.36415735 0.27955096 0.22377312 0.03764207 0.0948765 ]
 [0.39303073 0.38249634 0.11958671 0.08663205 0.01825417]
 [0.37187129 0.36198155 0.05766114 0.01792915 0.19055688]]"
11,"[[0.10501468 0.42496551 0.04944824 0.39864377 0.0219278 ]
 [0.34473202 0.3102464  0.0241785  0.16882323 0.15201985]
 [0.27930795 0.26171462 0.23011502 0.20633925 0.02252316]
 [0.37414231 0.32971827 0.14820748 0.05475533 0.09317662]
 [0.30403649 0.23475352 0.21653523 0.05021956 0.1944552 ]]"
